serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
85_6,RSV B 2024,1,3.429e-05,F8,V4P2,RSV_Historical_Sera_2,0.7123,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,1.143e-05,F9,V4P2,RSV_Historical_Sera_2,0.8917,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,1,3.81e-06,F10,V4P2,RSV_Historical_Sera_2,0.8084,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,0.025,G2,V4P2,RSV_Historical_Sera_2,0.0007549,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,0.008333,G3,V4P2,RSV_Historical_Sera_2,0.006097,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,0.002778,G4,V4P2,RSV_Historical_Sera_2,0.133,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,0.0009259,G5,V4P2,RSV_Historical_Sera_2,0.2529,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,0.0003086,G6,V4P2,RSV_Historical_Sera_2,0.5775,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,0.0001029,G7,V4P2,RSV_Historical_Sera_2,0.8096,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,3.429e-05,G8,V4P2,RSV_Historical_Sera_2,0.8684,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,1.143e-05,G9,V4P2,RSV_Historical_Sera_2,0.9246,24.10.17_RSVNeut_Sera_Evo2
85_6,RSV B 2024,2,3.81e-06,G10,V4P2,RSV_Historical_Sera_2,1.047,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,0.025,D2,V4P2,RSV_Historical_Sera_2,0.0007511,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,0.008333,D3,V4P2,RSV_Historical_Sera_2,0.003868,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,0.002778,D4,V4P2,RSV_Historical_Sera_2,0.05516,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,0.0009259,D5,V4P2,RSV_Historical_Sera_2,0.1559,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,0.0003086,D6,V4P2,RSV_Historical_Sera_2,0.3851,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,0.0001029,D7,V4P2,RSV_Historical_Sera_2,0.5861,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,3.429e-05,D8,V4P2,RSV_Historical_Sera_2,0.7875,24.10.17_RSVNeut_Sera_Evo2
