date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
24.10.31,BEI,BEI Medium Control NR-4022,RSV A2 R1,3,1.52588E-07,1.075782617
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,0.01,0.000592059
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,0.0025,0.001534216
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,0.000625,0.247620389
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,0.00015625,0.512221909
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,3.90625E-05,0.723092087
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,9.76563E-06,0.897212053
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,2.44141E-06,1.036609406
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,6.10352E-07,0.90650521
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,1,1.52588E-07,0.835708251
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,0.01,0.000914109
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,0.0025,0.010171783
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,0.000625,0.142776683
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,0.00015625,0.543396226
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,3.90625E-05,0.892987891
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,9.76563E-06,0.991833286
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,2.44141E-06,1.007885103
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,6.10352E-07,0.977471135
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,2,1.52588E-07,1.000281611
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,0.01,0.004877218
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,0.0025,0.007933821
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,0.000625,0.18020276
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,0.00015625,0.634131231
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,3.90625E-05,0.845677274
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,9.76563E-06,0.832666854
