cell line,rep,virus number,virus,RLU,uL,RLU/uL,experiment
293T-TIM1,1,7,G -15,74240000,3.125,23756800,ct del
293T-TIM1,1,7,G -15,20080000,0.78125,25702400,ct del
293T-TIM1,1,7,G -15,5081000,0.1953125,26014720,ct del
293T-TIM1,1,7,G -15,1524000,0.048828125,31211520,ct del
293T-TIM1,2,7,G -15,over,50,#VALUE!,ct del
293T-TIM1,2,7,G -15,250300000,12.5,20024000,ct del
293T-TIM1,2,7,G -15,72210000,3.125,23107200,ct del
293T-TIM1,2,7,G -15,20490000,0.78125,26227200,ct del
293T-TIM1,2,7,G -15,5344000,0.1953125,27361280,ct del
293T-TIM1,2,7,G -15,1372000,0.048828125,28098560,ct del
293T-TIM1,1,8,G -19,over,50,#VALUE!,ct del
293T-TIM1,1,8,G -19,403000000,12.5,32240000,ct del
293T-TIM1,1,8,G -19,123700000,3.125,39584000,ct del
293T-TIM1,1,8,G -19,34680000,0.78125,44390400,ct del
293T-TIM1,1,8,G -19,9909000,0.1953125,50734080,ct del
293T-TIM1,1,8,G -19,2674000,0.048828125,54763520,ct del
293T-TIM1,2,8,G -19,over,50,#VALUE!,ct del
293T-TIM1,2,8,G -19,413600000,12.5,33088000,ct del
293T-TIM1,2,8,G -19,126400000,3.125,40448000,ct del
293T-TIM1,2,8,G -19,40150000,0.78125,51392000,ct del
293T-TIM1,2,8,G -19,9385000,0.1953125,48051200,ct del
293T-TIM1,2,8,G -19,2360000,0.048828125,48332800,ct del
293T-TIM1,1,9,G -23,over,50,#VALUE!,ct del
293T-TIM1,1,9,G -23,262200000,12.5,20976000,ct del
293T-TIM1,1,9,G -23,76080000,3.125,24345600,ct del
293T-TIM1,1,9,G -23,21340000,0.78125,27315200,ct del
293T-TIM1,1,9,G -23,5368000,0.1953125,27484160,ct del
293T-TIM1,1,9,G -23,1319000,0.048828125,27013120,ct del
293T-TIM1,2,9,G -23,over,50,#VALUE!,ct del
293T-TIM1,2,9,G -23,254100000,12.5,20328000,ct del
293T-TIM1,2,9,G -23,72690000,3.125,23260800,ct del
293T-TIM1,2,9,G -23,20920000,0.78125,26777600,ct del
293T-TIM1,2,9,G -23,5707000,0.1953125,29219840,ct del
293T-TIM1,2,9,G -23,1575000,0.048828125,32256000,ct del
293T-TIM1,1,10,G -27,over,50,#VALUE!,ct del
293T-TIM1,1,10,G -27,396300000,12.5,31704000,ct del
293T-TIM1,1,10,G -27,131300000,3.125,42016000,ct del
293T-TIM1,1,10,G -27,37040000,0.78125,47411200,ct del
293T-TIM1,1,10,G -27,10220000,0.1953125,52326400,ct del
293T-TIM1,1,10,G -27,2670000,0.048828125,54681600,ct del
293T-TIM1,2,10,G -27,442600000,12.5,35408000,ct del
293T-TIM1,2,10,G -27,144600000,3.125,46272000,ct del
293T-TIM1,2,10,G -27,42300000,0.78125,54144000,ct del
293T-TIM1,2,10,G -27,11170000,0.1953125,57190400,ct del
293T-TIM1,2,10,G -27,2984000,0.048828125,61112320,ct del
293T-TIM1,1,11,G -31,over,50,#VALUE!,ct del
293T-TIM1,1,11,G -31,over,12.5,#VALUE!,ct del
293T-TIM1,1,11,G -31,265500000,3.125,84960000,ct del
293T-TIM1,1,11,G -31,72840000,0.78125,93235200,ct del
293T-TIM1,1,11,G -31,19040000,0.1953125,97484800,ct del
293T-TIM1,1,11,G -31,4757000,0.048828125,97423360,ct del
293T-TIM1,2,11,G -31,over,50,#VALUE!,ct del
293T-TIM1,2,11,G -31,over,12.5,#VALUE!,ct del
293T-TIM1,2,11,G -31,244100000,3.125,78112000,ct del
293T-TIM1,2,11,G -31,67220000,0.78125,86041600,ct del
293T-TIM1,2,11,G -31,18580000,0.1953125,95129600,ct del
293T-TIM1,2,11,G -31,4454000,0.048828125,91217920,ct del
293T-TIM1,1,12,G -35,over,50,#VALUE!,ct del
293T-TIM1,1,12,G -35,448300000,12.5,35864000,ct del
293T-TIM1,1,12,G -35,128800000,3.125,41216000,ct del
293T-TIM1,1,12,G -35,35040000,0.78125,44851200,ct del
293T-TIM1,1,12,G -35,9634000,0.1953125,49326080,ct del
293T-TIM1,1,12,G -35,1990000,0.048828125,40755200,ct del
293T-TIM1,2,12,G -35,over,50,#VALUE!,ct del
293T-TIM1,2,12,G -35,446700000,12.5,35736000,ct del
293T-TIM1,2,12,G -35,130900000,3.125,41888000,ct del
293T-TIM1,2,12,G -35,37130000,0.78125,47526400,ct del
293T-TIM1,2,12,G -35,9784000,0.1953125,50094080,ct del
293T-TIM1,2,12,G -35,2238000,0.048828125,45834240,ct del
293T-TIM1,1,13,G only,107800,50,2156,ct del
293T-TIM1,1,13,G only,22150,12.5,1772,ct del
293T-TIM1,1,13,G only,3956,3.125,1265.92,ct del
293T-TIM1,1,13,G only,311.9,0.78125,399.232,ct del
293T-TIM1,1,13,G only,93.76,0.1953125,480.0512,ct del
293T-TIM1,1,13,G only,23.81,0.048828125,487.6288,ct del
293T-TIM1,2,13,G only,97570,50,1951.4,ct del
293T-TIM1,2,13,G only,61090,12.5,4887.2,ct del
293T-TIM1,2,13,G only,13690,3.125,4380.8,ct del
293T-TIM1,2,13,G only,324.5,0.78125,415.36,ct del
293T-TIM1,2,13,G only,423.3,0.1953125,2167.296,ct del
293T-TIM1,2,13,G only,54.72,0.048828125,1120.6656,ct del
293T-TIM1,1,14,full F,over,50,#VALUE!,ct del
293T-TIM1,1,14,full F,over,12.5,#VALUE!,ct del
293T-TIM1,1,14,full F,170600000,3.125,54592000,ct del
293T-TIM1,1,14,full F,48670000,0.78125,62297600,ct del
293T-TIM1,1,14,full F,12540000,0.1953125,64204800,ct del
293T-TIM1,1,14,full F,3876000,0.048828125,79380480,ct del
293T-TIM1,2,14,full F,over,50,#VALUE!,ct del
293T-TIM1,2,14,full F,over,12.5,#VALUE!,ct del
293T-TIM1,2,14,full F,167700000,3.125,53664000,ct del
293T-TIM1,2,14,full F,51510000,0.78125,65932800,ct del
293T-TIM1,2,14,full F,12100000,0.1953125,61952000,ct del
293T-TIM1,2,14,full F,3477000,0.048828125,71208960,ct del
293T-TIM1,1,15,F -4,over,50,#VALUE!,ct del
293T-TIM1,1,15,F -4,over,12.5,#VALUE!,ct del
293T-TIM1,1,15,F -4,256300000,3.125,82016000,ct del
293T-TIM1,1,15,F -4,75710000,0.78125,96908800,ct del
293T-TIM1,1,15,F -4,20270000,0.1953125,103782400,ct del
293T-TIM1,1,15,F -4,4601000,0.048828125,94228480,ct del
293T-TIM1,2,15,F -4,over,50,#VALUE!,ct del
293T-TIM1,2,15,F -4,over,12.5,#VALUE!,ct del
293T-TIM1,2,15,F -4,278900000,3.125,89248000,ct del
293T-TIM1,2,15,F -4,76830000,0.78125,98342400,ct del
293T-TIM1,2,15,F -4,20510000,0.1953125,105011200,ct del
293T-TIM1,2,15,F -4,5661000,0.048828125,115937280,ct del
293T-TIM1,1,16,F -8,over,50,#VALUE!,ct del
293T-TIM1,1,16,F -8,431500000,12.5,34520000,ct del
293T-TIM1,1,16,F -8,148000000,3.125,47360000,ct del
293T-TIM1,1,16,F -8,40270000,0.78125,51545600,ct del
293T-TIM1,1,16,F -8,10960000,0.1953125,56115200,ct del
293T-TIM1,1,16,F -8,3054000,0.048828125,62545920,ct del
293T-TIM1,2,16,F -8,over,50,#VALUE!,ct del
293T-TIM1,2,16,F -8,407100000,12.5,32568000,ct del
293T-TIM1,2,16,F -8,142900000,3.125,45728000,ct del
293T-TIM1,2,16,F -8,38260000,0.78125,48972800,ct del
293T-TIM1,2,16,F -8,10360000,0.1953125,53043200,ct del
293T-TIM1,2,16,F -8,2786000,0.048828125,57057280,ct del
293T-TIM1,1,17,F -12,over,50,#VALUE!,ct del
293T-TIM1,1,17,F -12,331400000,12.5,26512000,ct del
293T-TIM1,1,17,F -12,98280000,3.125,31449600,ct del
293T-TIM1,1,17,F -12,20830000,0.78125,26662400,ct del
293T-TIM1,1,17,F -12,4922000,0.1953125,25200640,ct del
293T-TIM1,1,17,F -12,1423000,0.048828125,29143040,ct del
293T-TIM1,2,17,F -12,over,50,#VALUE!,ct del
293T-TIM1,2,17,F -12,313700000,12.5,25096000,ct del
293T-TIM1,2,17,F -12,99560000,3.125,31859200,ct del
293T-TIM1,2,17,F -12,19990000,0.78125,25587200,ct del
293T-TIM1,2,17,F -12,4884000,0.1953125,25006080,ct del
293T-TIM1,2,17,F -12,1370000,0.048828125,28057600,ct del
293T-TIM1,1,18,F -16,2918000,50,58360,ct del
293T-TIM1,1,18,F -16,2005000,12.5,160400,ct del
293T-TIM1,1,18,F -16,918200,3.125,293824,ct del
293T-TIM1,1,18,F -16,362600,0.78125,464128,ct del
293T-TIM1,1,18,F -16,146200,0.1953125,748544,ct del
293T-TIM1,1,18,F -16,67020,0.048828125,1372569.6,ct del
293T-TIM1,2,18,F -16,985500,50,19710,ct del
293T-TIM1,2,18,F -16,533400,12.5,42672,ct del
293T-TIM1,2,18,F -16,234700,3.125,75104,ct del
293T-TIM1,2,18,F -16,117500,0.78125,150400,ct del
293T-TIM1,2,18,F -16,63590,0.1953125,325580.8,ct del
293T-TIM1,2,18,F -16,37910,0.048828125,776396.8,ct del
293T-TIM1,1,19,F -20,1094000,50,21880,ct del
293T-TIM1,1,19,F -20,320900,12.5,25672,ct del
293T-TIM1,1,19,F -20,140200,3.125,44864,ct del
293T-TIM1,1,19,F -20,73590,0.78125,94195.2,ct del
293T-TIM1,1,19,F -20,47710,0.1953125,244275.2,ct del
293T-TIM1,1,19,F -20,24720,0.048828125,506265.6,ct del
293T-TIM1,2,19,F -20,1013000,50,20260,ct del
293T-TIM1,2,19,F -20,433900,12.5,34712,ct del
293T-TIM1,2,19,F -20,157600,3.125,50432,ct del
293T-TIM1,2,19,F -20,72040,0.78125,92211.2,ct del
293T-TIM1,2,19,F -20,23760,0.1953125,121651.2,ct del
293T-TIM1,2,19,F -20,16450,0.048828125,336896,ct del
293T-TIM1,1,20,F -22,11340000,50,226800,ct del
293T-TIM1,1,20,F -22,3559000,12.5,284720,ct del
293T-TIM1,1,20,F -22,932000,3.125,298240,ct del
293T-TIM1,1,20,F -22,291700,0.78125,373376,ct del
293T-TIM1,1,20,F -22,62930,0.1953125,322201.6,ct del
293T-TIM1,1,20,F -22,33800,0.048828125,692224,ct del
293T-TIM1,2,20,F -22,11460000,50,229200,ct del
293T-TIM1,2,20,F -22,3784000,12.5,302720,ct del
293T-TIM1,2,20,F -22,1035000,3.125,331200,ct del
293T-TIM1,2,20,F -22,234800,0.78125,300544,ct del
293T-TIM1,2,20,F -22,79100,0.1953125,404992,ct del
293T-TIM1,2,20,F -22,22550,0.048828125,461824,ct del
293T-TIM1,1,21,VSV-G ,146700000,0.1,1467000000,ct del
293T-TIM1,1,21,VSV-G ,34380000,0.025,1375200000,ct del
293T-TIM1,1,21,VSV-G ,9404000,0.00625,1504640000,ct del
293T-TIM1,1,21,VSV-G ,2262000,0.0015625,1447680000,ct del
293T-TIM1,1,21,VSV-G ,584700,0.000390625,1496832000,ct del
293T-TIM1,1,21,VSV-G ,141800,9.77E-05,1452032000,ct del
293T-TIM1,2,21,VSV-G ,153100000,0.1,1531000000,ct del
293T-TIM1,2,21,VSV-G ,41020000,0.025,1640800000,ct del
293T-TIM1,2,21,VSV-G ,8847000,0.00625,1415520000,ct del
293T-TIM1,2,21,VSV-G ,2131000,0.0015625,1363840000,ct del
293T-TIM1,2,21,VSV-G ,564100,0.000390625,1444096000,ct del
293T-TIM1,2,21,VSV-G ,227900,9.77E-05,2333696000,ct del
293T-TIM1,1,11.1 A,Fresh 1,over,50,#VALUE!,freeze
293T-TIM1,1,11.1 A,Fresh 1,over,12.5,#VALUE!,freeze
293T-TIM1,1,11.1 A,Fresh 1,287500000,3.125,92000000,freeze
293T-TIM1,1,11.1 A,Fresh 1,98330000,0.78125,125862400,freeze
293T-TIM1,1,11.1 A,Fresh 1,26020000,0.1953125,133222400,freeze
293T-TIM1,1,11.1 A,Fresh 1,6442000,0.048828125,131932160,freeze
293T-TIM1,2,11.1 A,Fresh 1,over,50,#VALUE!,freeze
293T-TIM1,2,11.1 A,Fresh 1,over,12.5,#VALUE!,freeze
293T-TIM1,2,11.1 A,Fresh 1,264300000,3.125,84576000,freeze
293T-TIM1,2,11.1 A,Fresh 1,92870000,0.78125,118873600,freeze
293T-TIM1,2,11.1 A,Fresh 1,24670000,0.1953125,126310400,freeze
293T-TIM1,2,11.1 A,Fresh 1,7488000,0.048828125,153354240,freeze
293T-TIM1,1,11.1 B,Fresh 2,over,50,#VALUE!,freeze
293T-TIM1,1,11.1 B,Fresh 2,over,12.5,#VALUE!,freeze
293T-TIM1,1,11.1 B,Fresh 2,224200000,3.125,71744000,freeze
293T-TIM1,1,11.1 B,Fresh 2,64580000,0.78125,82662400,freeze
293T-TIM1,1,11.1 B,Fresh 2,12300000,0.1953125,62976000,freeze
293T-TIM1,1,11.1 B,Fresh 2,4644000,0.048828125,95109120,freeze
293T-TIM1,2,11.1 B,Fresh 2,over,50,#VALUE!,freeze
293T-TIM1,2,11.1 B,Fresh 2,over,12.5,#VALUE!,freeze
293T-TIM1,2,11.1 B,Fresh 2,232600000,3.125,74432000,freeze
293T-TIM1,2,11.1 B,Fresh 2,71810000,0.78125,91916800,freeze
293T-TIM1,2,11.1 B,Fresh 2,20070000,0.1953125,102758400,freeze
293T-TIM1,2,11.1 B,Fresh 2,5313000,0.048828125,108810240,freeze
293T-TIM1,1,11.2 A,-80 Freeze RT thaw 1,42470000,50,849400,freeze
293T-TIM1,1,11.2 A,-80 Freeze RT thaw 1,14110000,12.5,1128800,freeze
293T-TIM1,1,11.2 A,-80 Freeze RT thaw 1,4064000,3.125,1300480,freeze
293T-TIM1,1,11.2 A,-80 Freeze RT thaw 1,1187000,0.78125,1519360,freeze
293T-TIM1,1,11.2 A,-80 Freeze RT thaw 1,406700,0.1953125,2082304,freeze
293T-TIM1,1,11.2 A,-80 Freeze RT thaw 1,133300,0.048828125,2729984,freeze
293T-TIM1,2,11.2 A,-80 Freeze RT thaw 1,42920000,50,858400,freeze
293T-TIM1,2,11.2 A,-80 Freeze RT thaw 1,12810000,12.5,1024800,freeze
293T-TIM1,2,11.2 A,-80 Freeze RT thaw 1,3857000,3.125,1234240,freeze
293T-TIM1,2,11.2 A,-80 Freeze RT thaw 1,1254000,0.78125,1605120,freeze
293T-TIM1,2,11.2 A,-80 Freeze RT thaw 1,225800,0.1953125,1156096,freeze
293T-TIM1,2,11.2 A,-80 Freeze RT thaw 1,97510,0.048828125,1997004.8,freeze
293T-TIM1,1,11.2 B,-80 Freeze RT thaw 2,over,50,#VALUE!,freeze
293T-TIM1,1,11.2 B,-80 Freeze RT thaw 2,508700000,12.5,40696000,freeze
293T-TIM1,1,11.2 B,-80 Freeze RT thaw 2,156600000,3.125,50112000,freeze
293T-TIM1,1,11.2 B,-80 Freeze RT thaw 2,50670000,0.78125,64857600,freeze
293T-TIM1,1,11.2 B,-80 Freeze RT thaw 2,14840000,0.1953125,75980800,freeze
293T-TIM1,1,11.2 B,-80 Freeze RT thaw 2,4105000,0.048828125,84070400,freeze
293T-TIM1,2,11.2 B,-80 Freeze RT thaw 2,over,50,#VALUE!,freeze
293T-TIM1,2,11.2 B,-80 Freeze RT thaw 2,492300000,12.5,39384000,freeze
293T-TIM1,2,11.2 B,-80 Freeze RT thaw 2,163900000,3.125,52448000,freeze
293T-TIM1,2,11.2 B,-80 Freeze RT thaw 2,49210000,0.78125,62988800,freeze
293T-TIM1,2,11.2 B,-80 Freeze RT thaw 2,14540000,0.1953125,74444800,freeze
293T-TIM1,2,11.2 B,-80 Freeze RT thaw 2,3319000,0.048828125,67973120,freeze
293T-TIM1,1,11.3 A,-80 Freeze 37 thaw 1,3697000,50,73940,freeze
293T-TIM1,1,11.3 A,-80 Freeze 37 thaw 1,2124000,12.5,169920,freeze
293T-TIM1,1,11.3 A,-80 Freeze 37 thaw 1,902500,3.125,288800,freeze
293T-TIM1,1,11.3 A,-80 Freeze 37 thaw 1,310600,0.78125,397568,freeze
293T-TIM1,1,11.3 A,-80 Freeze 37 thaw 1,103100,0.1953125,527872,freeze
293T-TIM1,1,11.3 A,-80 Freeze 37 thaw 1,36450,0.048828125,746496,freeze
293T-TIM1,2,11.3 A,-80 Freeze 37 thaw 1,1518000,50,30360,freeze
293T-TIM1,2,11.3 A,-80 Freeze 37 thaw 1,521500,12.5,41720,freeze
293T-TIM1,2,11.3 A,-80 Freeze 37 thaw 1,191500,3.125,61280,freeze
293T-TIM1,2,11.3 A,-80 Freeze 37 thaw 1,51620,0.78125,66073.6,freeze
293T-TIM1,2,11.3 A,-80 Freeze 37 thaw 1,14930,0.1953125,76441.6,freeze
293T-TIM1,2,11.3 A,-80 Freeze 37 thaw 1,6830,0.048828125,139878.4,freeze
293T-TIM1,1,11.3 B,-80 Freeze 37 thaw 2,1088000,50,21760,freeze
293T-TIM1,1,11.3 B,-80 Freeze 37 thaw 2,515600,12.5,41248,freeze
293T-TIM1,1,11.3 B,-80 Freeze 37 thaw 2,215100,3.125,68832,freeze
293T-TIM1,1,11.3 B,-80 Freeze 37 thaw 2,55560,0.78125,71116.8,freeze
293T-TIM1,1,11.3 B,-80 Freeze 37 thaw 2,22320,0.1953125,114278.4,freeze
293T-TIM1,1,11.3 B,-80 Freeze 37 thaw 2,9447,0.048828125,193474.56,freeze
293T-TIM1,2,11.3 B,-80 Freeze 37 thaw 2,4506000,50,90120,freeze
293T-TIM1,2,11.3 B,-80 Freeze 37 thaw 2,2644000,12.5,211520,freeze
293T-TIM1,2,11.3 B,-80 Freeze 37 thaw 2,1023000,3.125,327360,freeze
293T-TIM1,2,11.3 B,-80 Freeze 37 thaw 2,382500,0.78125,489600,freeze
293T-TIM1,2,11.3 B,-80 Freeze 37 thaw 2,135400,0.1953125,693248,freeze
293T-TIM1,2,11.3 B,-80 Freeze 37 thaw 2,45300,0.048828125,927744,freeze
293T-TIM1,1,11.4 A,Flash Freeze RT thaw 1,over,50,#VALUE!,freeze
293T-TIM1,1,11.4 A,Flash Freeze RT thaw 1,over,12.5,#VALUE!,freeze
293T-TIM1,1,11.4 A,Flash Freeze RT thaw 1,196100000,3.125,62752000,freeze
293T-TIM1,1,11.4 A,Flash Freeze RT thaw 1,60520000,0.78125,77465600,freeze
293T-TIM1,1,11.4 A,Flash Freeze RT thaw 1,16500000,0.1953125,84480000,freeze
293T-TIM1,1,11.4 A,Flash Freeze RT thaw 1,3951000,0.048828125,80916480,freeze
293T-TIM1,2,11.4 A,Flash Freeze RT thaw 1,over,50,#VALUE!,freeze
293T-TIM1,2,11.4 A,Flash Freeze RT thaw 1,over,12.5,#VALUE!,freeze
293T-TIM1,2,11.4 A,Flash Freeze RT thaw 1,195500000,3.125,62560000,freeze
293T-TIM1,2,11.4 A,Flash Freeze RT thaw 1,61000000,0.78125,78080000,freeze
293T-TIM1,2,11.4 A,Flash Freeze RT thaw 1,15530000,0.1953125,79513600,freeze
293T-TIM1,2,11.4 A,Flash Freeze RT thaw 1,4483000,0.048828125,91811840,freeze
293T-TIM1,1,11.4 B,Flash Freeze RT thaw 2,over,50,#VALUE!,freeze
293T-TIM1,1,11.4 B,Flash Freeze RT thaw 2,over,12.5,#VALUE!,freeze
293T-TIM1,1,11.4 B,Flash Freeze RT thaw 2,194700000,3.125,62304000,freeze
293T-TIM1,1,11.4 B,Flash Freeze RT thaw 2,61380000,0.78125,78566400,freeze
293T-TIM1,1,11.4 B,Flash Freeze RT thaw 2,17710000,0.1953125,90675200,freeze
293T-TIM1,1,11.4 B,Flash Freeze RT thaw 2,4347000,0.048828125,89026560,freeze
293T-TIM1,2,11.4 B,Flash Freeze RT thaw 2,over,50,#VALUE!,freeze
293T-TIM1,2,11.4 B,Flash Freeze RT thaw 2,over,12.5,#VALUE!,freeze
293T-TIM1,2,11.4 B,Flash Freeze RT thaw 2,192600000,3.125,61632000,freeze
293T-TIM1,2,11.4 B,Flash Freeze RT thaw 2,62300000,0.78125,79744000,freeze
293T-TIM1,2,11.4 B,Flash Freeze RT thaw 2,16320000,0.1953125,83558400,freeze
293T-TIM1,2,11.4 B,Flash Freeze RT thaw 2,4064000,0.048828125,83230720,freeze
293T-TIM1,1,11.5 A,Flash Freeze 37 thaw 1,over,50,#VALUE!,freeze
293T-TIM1,1,11.5 A,Flash Freeze 37 thaw 1,over,12.5,#VALUE!,freeze
293T-TIM1,1,11.5 A,Flash Freeze 37 thaw 1,215800000,3.125,69056000,freeze
293T-TIM1,1,11.5 A,Flash Freeze 37 thaw 1,64160000,0.78125,82124800,freeze
293T-TIM1,1,11.5 A,Flash Freeze 37 thaw 1,18600000,0.1953125,95232000,freeze
293T-TIM1,1,11.5 A,Flash Freeze 37 thaw 1,5168000,0.048828125,105840640,freeze
293T-TIM1,2,11.5 A,Flash Freeze 37 thaw 1,over,50,#VALUE!,freeze
293T-TIM1,2,11.5 A,Flash Freeze 37 thaw 1,over,12.5,#VALUE!,freeze
293T-TIM1,2,11.5 A,Flash Freeze 37 thaw 1,211700000,3.125,67744000,freeze
293T-TIM1,2,11.5 A,Flash Freeze 37 thaw 1,65250000,0.78125,83520000,freeze
293T-TIM1,2,11.5 A,Flash Freeze 37 thaw 1,15340000,0.1953125,78540800,freeze
293T-TIM1,2,11.5 A,Flash Freeze 37 thaw 1,4110000,0.048828125,84172800,freeze
293T-TIM1,1,11.5 B,Flash Freeze 37 thaw 2,over,50,#VALUE!,freeze
293T-TIM1,1,11.5 B,Flash Freeze 37 thaw 2,over,12.5,#VALUE!,freeze
293T-TIM1,1,11.5 B,Flash Freeze 37 thaw 2,214800000,3.125,68736000,freeze
293T-TIM1,1,11.5 B,Flash Freeze 37 thaw 2,68130000,0.78125,87206400,freeze
293T-TIM1,1,11.5 B,Flash Freeze 37 thaw 2,17850000,0.1953125,91392000,freeze
293T-TIM1,1,11.5 B,Flash Freeze 37 thaw 2,4259000,0.048828125,87224320,freeze
293T-TIM1,2,11.5 B,Flash Freeze 37 thaw 2,over,50,#VALUE!,freeze
293T-TIM1,2,11.5 B,Flash Freeze 37 thaw 2,over,12.5,#VALUE!,freeze
293T-TIM1,2,11.5 B,Flash Freeze 37 thaw 2,225400000,3.125,72128000,freeze
293T-TIM1,2,11.5 B,Flash Freeze 37 thaw 2,66340000,0.78125,84915200,freeze
293T-TIM1,2,11.5 B,Flash Freeze 37 thaw 2,18200000,0.1953125,93184000,freeze
293T-TIM1,2,11.5 B,Flash Freeze 37 thaw 2,4627000,0.048828125,94760960,freeze
